CP,Municipio
01002,Vitoria/Gasteiz
01003,Vitoria/Gasteiz
01004,Vitoria/Gasteiz
01005,Vitoria/Gasteiz
01006,Vitoria/Gasteiz
01007,Vitoria/Gasteiz
01008,Vitoria/Gasteiz
01009,Vitoria/Gasteiz
01010,Vitoria/Gasteiz
01012,Vitoria/Gasteiz
01013,Vitoria/Gasteiz
01015,Vitoria/Gasteiz
01070,Vitoria/Gasteiz
01071,Vitoria/Gasteiz
01080,Vitoria/Gasteiz
01110,CAMPEZO
01110,KANPEZU
01110,SANTA CRUZ DE CAMPEZO-SANTIKURUTZE KANPEZU
01117,ALDA
01117,DONE BIKENDI HARANA
01117,HARANA
01117,KONTRASTA
01117,ORBISO
01117,OTEO
01117,SAN VICENTE DE ARANA
01117,ULLIBARRI-ARANA
01117,URIBARRI-HARANA
01117,VALLE DE ARANA
01118,ANGOSTINA
01118,BERNEDO
01118,LAGRAN
01118,NAFARRETE
01118,PIPAON
01118,URTURI
01118,VILLAFRIA
01118,VILLAVERDE
01120,ARRAIA-MAEZTU
01120,MAESTU
01128,ANTOÑANA
01128,ATAURI
01128,AZAZETA
01128,BERROZI
01128,BUJANDA
01128,BUXANDA
01128,DURRUMA KANPEZU
01128,KINTANA
01128,SAN ROMAN DE CAMPEZO
01129,ALETXA
01129,APELLANIZ
01129,APINANIZ
01129,AREATZA
01129,ARENAZA
01129,BIRGARA BARREN
01129,BIRGARA GOIEN
01129,CICUJANO
01129,ELORTZA
01129,ERROETA
01129,ERROITEGI
01129,IBISATE
01129,KORRES
01129,LEORZA
01129,MUSITU
01129,ONRAITA
01129,ROITEGUI
01129,SABANDO
01129,VIRGALA MAYOR
01129,VIRGALA MENOR
01129,ZEKUIANO
01130,MURGUIA
01130,ZUIA
01138,ACOSTA
01138,APODAKA
01138,BERRIKANO
01138,BURUAGA
01138,ERIBE
01138,ETXAGUEN (ZIGOITIA)
01138,GOPEGI
01138,LARRINOA
01138,LETONA
01138,MANURGA
01138,MURUA
01138,OKOIZTA
01138,OLANO
01138,ONDATEGI
01138,ZAITEGI
01138,ZESTAFE
01138,ZIGOITIA
01139,ALTUBE
01139,AMETZAGA (ZUIA)
01139,APERREGI
01139,BITORIANO
01139,DOMAIKIA
01139,GILIERNA
01139,GUILLERNA
01139,JUGO
01139,LUKIANO
01139,MARKINA
01139,SARRIA
01139,ZARATE
01160,IBARRA
01165,OLAETA
01169,ARAMAIO
01169,AREXOLA
01169,AZKOAGA
01169,BARAJUEN
01169,ETXAGUEN
01169,GANTZAGA
01169,UNTZILLA
01169,URIBARRI
01170,ELOSU
01170,GOIAIN
01170,LEGUTIANO
01170,URRUNAGA
01191,ASTEGIETA
01191,ESTARRONA
01191,GOBEO
01191,HUETO ABAJO
01191,HUETO ARRIBA
01191,MARTIODA
01191,MENDOZA
01191,OTO BARREN
01191,OTO GOIEN
01191,TRASPONTE
01191,TRESPUENTES
01191,ULLIBARRI-VIÑA
01191,URIBARRI-DIBIÑA
01192,AÑUA
01192,ARBULO
01192,ARBURU
01192,ARGOMANIZ
01192,ARKAUTE
01192,BURGELU
01192,ELBURGO
01192,ELORRIAGA
01192,GACETA
01192,GAZETA
01192,ILARRATZA
01192,JUNGITU
01192,LUBIANO
01192,MATAUCO
01192,OREITIA
01192,ZERIO
01193,ABERASTURI
01193,ACILU
01193,ANDOLLU
01193,ARGANDOÑA
01193,ARKAIA
01193,ASKARZA
01193,AZILU
01193,EGUILETA
01193,ERENCHUN
01193,ERENTXUN
01193,GAUNA
01193,HIJONA
01193,IRURAIZ-GAUNA
01193,IXONA
01193,TROKONIZ
01193,VILLAFRANCA
01194,ARETXABALETA
01194,BERROSTEGIETA
01194,BOLIBAR
01194,CASTILLO
01194,ESKIBEL
01194,GAMIZ
01194,GARDELEGI
01194,GAZTELU
01194,IZARTZA
01194,LASARTE
01194,MENDIOLA
01194,MONASTERIOGUREN
01194,OKINA
01194,OTAZU
01194,ULLIBARRI DE LOS OLLEROS
01194,URIBARRI NAGUSIA
01195,ARINIZ
01195,ARIÑEZ
01195,BILODA
01195,CRISPIJANA
01195,GOMETXA
01195,KRISPIÑANA
01195,LERMANDA
01195,MARGARITA
01195,SUBIJANA DE ALAVA
01195,SUBILLANA-GASTEIZ
01195,VILLODAS
01195,ZUAZO DE VITORIA
01195,ZUHATZU
01195,ZUMELTZU
01195,ZUMELZU
01196,ANTEZANA
01196,ARANGIZ
01196,ARTAZA FORONDA
01196,ETXABARRI-IBIÑA
01196,FORONDA
01196,GEREÑA
01196,IURRE
01196,LEGARDA
01196,LOPIDANA
01196,MANDOJANA
01196,MENDAROZKETA
01196,MENDIGUREN
01200,AGURAIN
01200,SALVATIERRA
01206,ARRIETA
01206,AUDIKANA
01206,BARRUNDIA
01206,DALLO
01206,ELGEA
01206,ETURA
01206,ETXABARRI-URTUPIÑA
01206,EZKEREKOTXA
01206,GAZEO
01206,GUEVARA
01206,HEREDIA
01206,LANGARIKA
